baseFare,reservationCharge,superfastCharge,fuelAmount,totalConcession,tatkalFare,serviceTax,otherCharge,cateringCharge,dynamicFare,totalFare,availability,trainNumber,timeStamp,fromStnCode,toStnCode,classCode,distance,duration
1059,60,0,0.0,0,0,56.0,0,0,0,1175,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0012'}]",11464,2023-10-03 22:13:07.781307,JBP,SRID,1A,54,33.0
626,50,0,0.0,0,0,34.0,0,0,0,710,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0020'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0026'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0029'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0018'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0026'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0022'}]",11464,2023-10-03 22:13:07.781307,JBP,SRID,2A,54,33.0
441,40,0,0.0,0,0,24.0,0,0,0,505,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0136'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0192'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0185'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0139'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0154'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0140'}]",11464,2023-10-03 22:13:07.781307,JBP,SRID,3A,54,33.0
125,20,0,0.0,0,0,0.0,0,0,0,145,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0090'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0101'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0100'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0067'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0118'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0125'}]",11464,2023-10-03 22:13:07.781307,JBP,SRID,SL,54,33.0
1059,60,0,0.0,0,0,56.0,0,0,0,1175,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0012'}]",11464,2023-10-03 22:13:07.781307,JBP,KKB,1A,69,49.0
626,50,0,0.0,0,0,34.0,0,0,0,710,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0020'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0026'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0029'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0018'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0026'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0022'}]",11464,2023-10-03 22:13:07.781307,JBP,KKB,2A,69,49.0
441,40,0,0.0,0,0,24.0,0,0,0,505,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0136'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0192'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0185'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0139'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0154'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0140'}]",11464,2023-10-03 22:13:07.781307,JBP,KKB,3A,69,49.0
125,20,0,0.0,0,0,0.0,0,0,0,145,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0090'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0101'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0100'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0067'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0118'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0125'}]",11464,2023-10-03 22:13:07.781307,JBP,KKB,SL,69,49.0
1059,60,0,0.0,0,0,56.0,0,0,0,1175,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0012'}]",11464,2023-10-03 22:13:07.781307,JBP,NU,1A,85,72.0
626,50,0,0.0,0,0,34.0,0,0,0,710,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0020'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0026'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0029'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0018'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0026'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0022'}]",11464,2023-10-03 22:13:07.781307,JBP,NU,2A,85,72.0
441,40,0,0.0,0,0,24.0,0,0,0,505,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0136'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0192'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0185'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0139'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0154'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0140'}]",11464,2023-10-03 22:13:07.781307,JBP,NU,3A,85,72.0
125,20,0,0.0,0,0,0.0,0,0,0,145,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0090'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0101'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0100'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0067'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0118'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0125'}]",11464,2023-10-03 22:13:07.781307,JBP,NU,SL,85,72.0
1059,60,0,0.0,0,0,56.0,0,0,0,1175,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0012'}]",11464,2023-10-03 22:13:07.781307,JBP,KY,1A,100,86.0
626,50,0,0.0,0,0,34.0,0,0,0,710,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0020'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0025'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0029'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0018'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0026'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0022'}]",11464,2023-10-03 22:13:07.781307,JBP,KY,2A,100,86.0
441,40,0,0.0,0,0,24.0,0,0,0,505,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0134'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0189'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0185'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0139'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0154'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0140'}]",11464,2023-10-03 22:13:07.781307,JBP,KY,3A,100,86.0
125,20,0,0.0,0,0,0.0,0,0,0,145,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0090'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0099'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0100'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0053'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0118'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0125'}]",11464,2023-10-03 22:13:07.781307,JBP,KY,SL,100,86.0
1059,60,0,0.0,0,0,56.0,0,0,0,1175,"[{'date': '2-12-2023', 'status': 'AVAILABLE-0008'}, {'date': '3-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '5-12-2023', 'status': 'AVAILABLE-0011'}, {'date': '6-12-2023', 'status': 'AVAILABLE-0004'}, {'date': '7-12-2023', 'status': 'AVAILABLE-0014'}, {'date': '9-12-2023', 'status': 'AVAILABLE-0012'}]",11464,2023-10-03 22:13:07.781307,JBP,GAR,1A,129,110.0
